Date,Ticker,Metric,Value
2023-06-14,SMCI,rolling_sharpe_21d,5.4133357596548635
2023-06-15,SMCI,rolling_vol_21d,0.526437515885961
2023-06-15,SMCI,rolling_ret_21d,2.116279330933805
2023-06-15,SMCI,rolling_sharpe_21d,3.925022948747085
2023-06-16,SMCI,rolling_vol_21d,0.5341837673428542
2023-06-16,SMCI,rolling_ret_21d,0.7546596489006183
2023-06-16,SMCI,rolling_sharpe_21d,1.319133399365069
2023-06-17,SMCI,rolling_vol_21d,0.5341837673428542
2023-06-17,SMCI,rolling_ret_21d,0.7546596489006183
2023-06-17,SMCI,rolling_sharpe_21d,1.319133399365069
2023-06-18,SMCI,rolling_vol_21d,0.5341837673428542
2023-06-18,SMCI,rolling_ret_21d,0.7546596489006183
2023-06-18,SMCI,rolling_sharpe_21d,1.319133399365069
2023-06-19,SMCI,rolling_vol_21d,0.5341837673428542
2023-06-19,SMCI,rolling_ret_21d,0.7546596489006183
2023-06-19,SMCI,rolling_sharpe_21d,1.319133399365069
2023-06-20,SMCI,rolling_vol_21d,0.49485745175397056
2023-06-20,SMCI,rolling_ret_21d,-0.49744175275426183
2023-06-20,SMCI,rolling_sharpe_21d,-1.1062615119039065
2023-06-21,SMCI,rolling_vol_21d,0.47302866133957616
2023-06-21,SMCI,rolling_ret_21d,-0.11150379658352794
2023-06-21,SMCI,rolling_sharpe_21d,-0.3414249701617725
2023-06-22,SMCI,rolling_vol_21d,0.4715449749065368
2023-06-22,SMCI,rolling_ret_21d,-0.13291941375602878
2023-06-22,SMCI,rolling_sharpe_21d,-0.387915095038993
2023-06-23,SMCI,rolling_vol_21d,0.47890470026682586
2023-06-23,SMCI,rolling_ret_21d,-0.21236263769149089
2023-06-23,SMCI,rolling_sharpe_21d,-0.5478389281736289
2023-06-24,SMCI,rolling_vol_21d,0.47890470026682586
2023-06-24,SMCI,rolling_ret_21d,-0.21236263769149089
2023-06-24,SMCI,rolling_sharpe_21d,-0.5478389281736289
2023-06-25,SMCI,rolling_vol_21d,0.47890470026682586
2023-06-25,SMCI,rolling_ret_21d,-0.21236263769149089
2023-06-25,SMCI,rolling_sharpe_21d,-0.5478389281736289
2023-06-26,SMCI,rolling_vol_21d,0.4780212274943829
2023-06-26,SMCI,rolling_ret_21d,-0.28092308908152974
2023-06-26,SMCI,rolling_sharpe_21d,-0.6922769744266604
2023-06-27,SMCI,rolling_vol_21d,0.48064164596013337
2023-06-27,SMCI,rolling_ret_21d,-0.25410726276647155
2023-06-27,SMCI,rolling_sharpe_21d,-0.632711013127014
2023-06-28,SMCI,rolling_vol_21d,0.49455420859232896
2023-06-28,SMCI,rolling_ret_21d,-0.07697567136799988
2023-06-28,SMCI,rolling_sharpe_21d,-0.25674773192086714
2023-06-29,SMCI,rolling_vol_21d,0.4420122170107847
